#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Mar 17 11:00:20 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       rc5_key_map.ncd
#OUTPUT FILE:      rc5_key_pad.csv
#PART TYPE:        xc3s250e
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,,DIFFS,IO_L17N_0/VREF_0,UNUSED,,0,,,,,,,,,
A5,,DIFFM,IO_L17P_0,UNUSED,,0,,,,,,,,,
A6,,,VCCAUX,,,,,,,,2.5,,,,
A7,,IOB,IO,UNUSED,,0,,,,,,,,,
A8,,DIFFMI,IP_L10P_0/GCLK8,UNUSED,,0,,,,,,,,,
A9,,DIFFS,IO_L09N_0/GCLK7,UNUSED,,0,,,,,,,,,
A10,,DIFFM,IO_L09P_0/GCLK6,UNUSED,,0,,,,,,,,,
A11,,,VCCAUX,,,,,,,,2.5,,,,
A12,,IOB,IO,UNUSED,,0,,,,,,,,,
A13,,DIFFS,IO_L03N_0/VREF_0,UNUSED,,0,,,,,,,,,
A14,key_vld,IBUF,IO_L01N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A15,,,TCK,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
B2,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
B3,,DIFFS,IO_L19N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,,IOB,IO,UNUSED,,0,,,,,,,,,
B5,,,VCCO_0,,,0,,,,,2.50,,,,
B6,,IBUF,IP,UNUSED,,0,,,,,,,,,
B7,,,NC,,,,,,,,,,,,
B8,clk,IBUF,IP_L10N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B9,,,GND,,,,,,,,,,,,
B10,,IBUF,IP,UNUSED,,0,,,,,,,,,
B11,,DIFFS,IO_L05N_0/VREF_0,UNUSED,,0,,,,,,,,,
B12,,,VCCO_0,,,0,,,,,2.50,,,,
B13,key_rdy,IOB,IO_L03P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B14,clr,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B15,,,TMS,,,,,,,,,,,,
B16,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
C2,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
C3,,DIFFM,IO_L19P_0,UNUSED,,0,,,,,,,,,
C4,,DIFFS,IO_L18N_0,UNUSED,,0,,,,,,,,,
C5,,DIFFM,IO_L18P_0,UNUSED,,0,,,,,,,,,
